Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Attack,anomaly_score
80,118593073,262,456,430492,443804,8994,6,1643.099237,2156.106324,4010,6,973.254386,914.5743434,7372.23497,6.054316511,165401.7755,706248.5576,8802686,0,119000000,454379.59,1115210.435,8802686,9,119000000,260578.3231,883313.8897,8832771,1,0,0,0,0,5240,9120,2.209235273,3.845081238,6,8994,1222.080668,1528.997845,2337834.411,0,0,0,0,1,0,0,0,1,1223.78273,1643.099237,973.254386,5240,0,0,0,0,0,0,262,430492,456,443804,64240,65535,261,20,35300000.0,26400000.0,54000000,16600000,8486085.0,447741.4281,8802686,8169484,BENIGN,0,-0.15249712540840665
80,116887026,177,303,266312,306310,5840,6,1504.587571,2055.860574,3023,6,1010.924092,915.8836924,4898.93549,4.106529325,244023.0188,945237.3357,10000000,-1,117000000,664130.8295,1472461.355,10000000,10,117000000,386943.4967,1178355.92,10000000,0,1,0,0,0,3540,6060,1.514282689,2.592246637,6,5840,1200.320166,1469.788577,2160278.46,0,1,0,0,1,0,0,0,1,1202.820833,1504.587571,1010.924092,3540,0,0,0,0,0,0,177,266312,303,306310,64240,65535,176,20,24400000.0,34500000.0,48800000,29594,9999943.0,209.3036072,10000000,9999795,BENIGN,0,-0.14972431000610276
80,119602197,252,402,368861,458133,8311,6,1463.734127,2050.844987,4380,6,1139.634328,1116.428789,6914.538535,5.468126978,183158.0352,826224.6053,9962823,1,120000000,476502.7769,1283823.484,10000000,10,119000000,297618.7207,1064206.291,10100000,1,1,0,0,0,5040,8040,2.106984707,3.361142271,6,8311,1269.20916,1554.913071,2417754.658,0,1,0,0,1,0,0,0,1,1271.149847,1463.734127,1139.634328,5040,0,0,0,0,0,0,252,368861,402,458133,64240,65535,251,20,12700000.0,22500000.0,46300000,58968,7481845.5,2772070.149,9962823,5046062,BENIGN,0,-0.14952808974677745
80,90875349,170,302,263752,305178,6046,6,1551.482353,2211.0861,4402,6,1010.523179,920.7360326,6260.553673,5.193927783,192941.293,700177.5972,5537733,0,90900000,537723.9586,1089640.106,5537733,14,90600000,300953.4518,869281.9897,5567784,0,1,0,0,0,3400,6040,1.870694329,3.323233455,6,6046,1213.433404,1545.757067,2389364.911,0,1,0,0,1,0,0,0,1,1216.004237,1551.482353,1010.523179,3400,0,0,0,0,0,0,170,263752,302,305178,64240,65535,169,20,26400000.0,0.0,26400000,26400000,5537733.0,0.0,5537733,5537733,BENIGN,0,-0.14763045358707205
80,118621730,202,352,323845,350097,6039,6,1603.193069,2117.461236,4398,6,994.59375,914.9520855,5681.437963,4.670307877,214505.8409,734769.9368,5398013,0,119000000,590157.8607,1126726.076,5398013,14,119000000,337867.6695,911889.6125,5427983,0,0,0,0,0,4040,7040,1.702892042,2.967415835,6,6039,1224.832432,1510.447471,2281451.562,0,0,0,0,1,0,0,0,1,1227.043321,1603.193069,994.59375,4040,0,0,0,0,0,0,202,323845,352,350097,64240,65535,201,20,31400000.0,0.0,31400000,31400000,5398013.0,0.0,5398013,5398013,BENIGN,0,-0.14607968928003545
80,119873743,178,276,264869,307319,8377,6,1488.02809,2054.406281,4380,6,1113.474638,1108.174871,4773.255474,3.787318129,264621.9492,905257.404,7539965,1,120000000,677252.7853,1352263.009,7539965,2,120000000,435684.9891,1158666.449,7599770,1,0,0,0,0,3560,5520,1.484895654,2.302422475,6,8377,1260.764835,1556.553962,2422860.238,0,0,0,0,1,0,0,0,1,1263.54185,1488.02809,1113.474638,3560,0,0,0,0,0,0,178,264869,276,307319,64240,65535,177,20,52600000.0,74200000.0,105000000,118262,7348619.0,270604.1083,7539965,7157273,BENIGN,0,-0.13820054050654362
443,118481709,461,470,763814,37172,14578,6,1656.863341,2882.541034,202,6,79.0893617,79.74193781,6760.419028,7.857752963,127399.6871,598611.8574,7006239,0,118000000,257568.9326,831993.1554,7006239,1,118000000,252460.8017,846147.8843,7083776,0,1,0,0,0,9220,9400,3.890895936,3.966857028,6,14578,860.0171674,2175.092147,4731025.849,0,1,0,0,1,0,0,0,1,860.9409237,1656.863341,79.0893617,9220,0,0,0,0,0,0,461,763814,470,37172,255,8192,460,20,16100000.0,9831569.818,25700000,5356121,6640390.25,318277.2281,7006239,6260372,BENIGN,0,-0.13534219741620757
80,116058979,82,156,128561,137889,3332,6,1567.817073,1569.323941,1460,6,883.9038462,618.0448233,2295.815475,2.05068149,489700.3333,1531890.894,7087840,20,116000000,1432826.901,2356869.965,7087840,43,116000000,748437.9806,1864706.723,7139317,47,1,0,0,0,1640,3120,0.70653732,1.34414417,6,3332,1128.405858,1100.620561,1211365.62,0,1,0,0,1,0,0,0,1,1133.147059,1567.817073,883.9038462,1640,0,0,0,0,0,0,82,128561,156,137889,16425,1927,81,20,8106047.625,2975483.96,10600000,3164044,6380742.5,850259.7503,7087840,5015595,BENIGN,0,-0.13303942246879197
443,119905637,368,370,673750,27754,13298,6,1830.842391,2953.083984,202,6,75.01081081,79.39513813,5850.46723,6.15483991,162694.2157,765032.7382,10600000,1,120000000,326718.3569,1060030.132,10600000,1,120000000,324867.2575,1080571.263,10600000,1,1,0,0,0,7360,7400,3.069080063,3.085759846,6,13298,950.0189445,2260.709585,5110807.826,0,1,0,0,1,0,0,0,1,951.3062331,1830.842391,75.01081081,7360,0,0,0,0,0,0,368,673750,370,27754,255,8192,367,20,15800000.0,16300000.0,44800000,6144045,7415510.8,1875789.857,10600000,5487615,BENIGN,0,-0.13252914879067135
443,117307108,2765,3819,83756,8425267,950,0,30.2915009,148.9517048,8760,6,2206.144802,1023.490857,72536.29507,56.1261812,17819.70348,242882.3793,7205731,-1,117000000,42441.06657,373572.1032,7205843,13,117000000,30712.33106,324253.0479,7257387,1,1,0,0,0,55612,76380,23.57060921,32.55557199,0,8760,1292.32407,1330.428955,1770041.205,0,1,0,0,1,0,0,0,1,1292.520352,30.2915009,2206.144802,55612,0,0,0,0,0,0,2765,83756,3819,8425267,7568,348,2738,20,27100000.0,24300000.0,44300000,9956658,6593509.5,865811.9485,7205731,5981288,BENIGN,0,-0.13129030282017928
443,65190150,751,1925,29905,3902439,5792,0,39.82023968,259.941426,4672,0,2027.241039,850.98561,60321.13747,41.04914623,24370.14953,1142034.766,59000000,-1,65200000,86920.2,2156614.423,59000000,1,65200000,33870.55717,1348183.252,59100000,0,0,0,0,0,24088,61608,11.5201453,29.52900093,0,5792,1468.93687,1156.641153,1337818.756,0,0,0,1,0,0,0,0,2,1469.4858,39.82023968,2027.241039,24088,0,0,0,0,0,0,751,29905,1925,3902439,29200,3721,152,32,6136221.0,0.0,6136221,6136221,59000000.0,0.0,59000000,59000000,BENIGN,0,-0.13015250957720403
80,117749794,268,430,407523,468399,8423,0,1520.608209,2039.707888,4380,0,1089.3,1058.932585,7438.84104,5.927823534,168938.0115,828074.7637,9990697,1,118000000,441010.4644,1296873.119,10000000,10,118000000,274336.366,1057559.624,10100000,1,0,0,0,0,5372,8608,2.276012474,3.65181106,0,8423,1253.107296,1525.414456,2326889.262,0,0,0,1,0,0,0,0,1,1254.902579,1520.608209,1089.3,5372,0,0,0,0,0,0,268,407523,430,468399,8192,65535,267,20,29600000.0,26100000.0,49400000,58941,9291458.0,1202735.447,9990697,7902670,BENIGN,0,-0.12828458847849733
443,65186443,1432,3137,56051,6246636,5002,0,39.14175978,192.0957574,7300,0,1991.277016,891.9651034,96687.08262,70.09126115,14270.23708,862103.9253,58200000,-1,65200000,45553.06988,1540654.375,58300000,1,65200000,20781.59534,1040768.413,58300000,0,0,0,0,0,28660,62752,21.96775793,48.12350323,0,7300,1379.143764,1173.919293,1378086.507,0,0,0,1,0,0,0,0,2,1379.445612,39.14175978,1991.277016,28660,0,0,0,0,0,0,1432,56051,3137,6246636,29200,119,1431,20,6927328.0,0.0,6927328,6927328,58200000.0,0.0,58200000,58200000,BENIGN,0,-0.12795201363387043
80,113785312,83,152,126207,135034,3425,6,1520.566265,1512.401677,1460,6,888.3815789,616.1121741,2295.911444,2.065292926,486262.0171,1486767.995,6812907,21,114000000,1387625.756,2256675.527,6812907,45,114000000,753181.5298,1818844.317,6864479,47,1,0,0,0,1660,3040,0.729443885,1.335849042,6,3425,1121.072034,1074.356428,1154241.735,0,1,0,0,1,0,0,0,1,1125.842553,1520.566265,888.3815789,1660,0,0,0,0,0,0,83,126207,152,135034,16425,1927,82,20,9349704.857,4124335.531,11700000,61793,6184702.571,546239.3058,6812907,5350391,BENIGN,0,-0.12448515765710133
443,119021032,435,423,609185,38016,11658,6,1400.425287,2585.969184,202,6,89.87234043,79.85168578,5437.702809,7.208809952,138881.0175,817212.3534,12700000,1,119000000,274242.0092,1133210.076,12700000,1,119000000,281855.5853,1163112.629,12800000,1,1,0,0,0,8700,8460,3.654816234,3.553993718,6,11658,754.0698487,1953.222622,3815078.613,0,1,0,0,1,0,0,0,0,754.9487179,1400.425287,89.87234043,8700,0,0,0,0,0,0,435,609185,423,38016,253,8192,434,20,8885384.0,5118809.531,18300000,3703516,8106315.429,2218803.105,12700000,6242960,BENIGN,0,-0.12309740595300223
80,119127018,87,160,131910,141011,3324,6,1516.206897,1529.006716,2920,6,881.31875,639.8441867,2291.008409,2.073417132,484256.1707,1532277.193,7229146,12,119000000,1385197.884,2346281.407,7229146,43,119000000,748904.673,1878611.115,7280924,47,1,0,0,0,1740,3200,0.730312917,1.343104215,6,3324,1113.677419,1090.147117,1188420.738,0,1,0,0,1,0,0,0,1,1118.186235,1516.206897,881.31875,1740,0,0,0,0,0,0,87,131910,160,141011,16425,1927,86,20,8332457.0,3677383.936,10500000,274771,6551375.0,629937.9738,7229146,5415179,BENIGN,0,-0.12216506351502032
443,64584045,228,262,496821,15100,14578,6,2179.039474,3351.483533,202,6,57.63358779,74.96959344,7926.431366,7.58701317,132073.7117,605930.8171,6660687,1,64600000,284510.9515,866319.9742,6660687,1,64600000,247334.7203,833316.8705,6741034,1,1,0,0,0,4560,5240,3.530283679,4.056729491,6,14578,1043.720978,2515.308085,6326774.765,0,1,0,0,1,0,0,0,1,1045.85102,2179.039474,57.63358779,4560,0,0,0,0,0,0,228,496821,262,15100,256,8192,227,20,18100000.0,5181437.369,21800000,14400000,6583738.0,108822.3194,6660687,6506789,BENIGN,0,-0.12166756196467621
443,119587558,400,440,820328,29029,14578,6,2050.82,3104.792379,202,6,65.975,77.69285249,7102.386019,7.024142093,142535.826,695901.7454,10100000,0,120000000,299718.1905,986373.9832,10100000,1,120000000,272222.631,963379.8274,10200000,0,1,0,0,0,8000,8800,3.344829568,3.679312525,6,14578,1010.686088,2358.997859,5564870.899,0,1,0,0,1,0,0,0,1,1011.889286,2050.82,65.975,8000,0,0,0,0,0,0,400,820328,440,29029,256,8192,399,20,20000000.0,35700000.0,73300000,31723,7549725.75,1778094.888,10100000,6312070,BENIGN,0,-0.12159638731591593
443,75705171,1455,3055,33647,6007926,1096,0,23.12508591,107.4300362,4402,0,1966.587889,817.0050218,79803.96742,59.57320934,16789.79175,879950.0685,58600000,-1,75700000,52066.83012,1549491.671,58600000,1,75700000,24783.86346,1069976.815,58600000,0,0,0,0,0,29132,61112,19.21929481,40.35391453,0,4402,1339.297938,1132.051071,1281539.628,0,0,0,1,0,0,0,0,2,1339.5949,23.12508591,1966.587889,29132,0,0,0,0,0,0,1455,33647,3055,6007926,29200,68,1453,20,17100000.0,0.0,17100000,17100000,58600000.0,0.0,58600000,58600000,BENIGN,0,-0.12140338370919013
443,118944775,10060,14530,91894,29900000,531,0,9.134592445,40.30459108,10220,6,2060.478665,896.2401983,252475.5627,206.734596,4837.316483,108388.3863,6629615,-1,119000000,11824.7117,169235.544,6629615,0,119000000,8184.491293,143480.6025,6674147,1,1,0,0,0,206384,290600,84.57706528,122.1575307,0,10220,1221.223944,1221.689802,1492525.973,0,1,0,0,1,0,0,0,1,1221.273607,9.134592445,2060.478665,206384,0,0,0,0,0,0,10060,91894,14530,29938755,8018,348,9627,20,6048531.0,0.0,6048531,6048531,6629615.0,0.0,6629615,6629615,BENIGN,0,-0.11980595746340728
443,65233840,2437,2816,16531,6472558,1315,0,6.783340172,29.16912917,8760,0,2298.493608,977.4282757,99474.27593,80.52569035,12420.76161,812842.9161,58700000,-1,65200000,26779.08046,1193497.615,58700000,0,65200000,23150.31794,1110636.028,58800000,1,0,0,0,0,52928,56332,37.35791117,43.16777918,0,8760,1235.075942,1348.62888,1818799.856,0,0,0,1,0,0,0,0,1,1235.31106,6.783340172,2298.493608,52928,0,0,0,0,0,0,2437,16531,2816,6472558,8192,75,2088,20,6420782.0,0.0,6420782,6420782,58700000.0,0.0,58700000,58700000,BENIGN,0,-0.1189090983386124
443,102602113,95,109,220007,5756,11658,6,2315.863158,3255.684203,202,6,52.80733945,73.21600173,2200.373788,1.988263146,505429.1281,4258951.772,58800000,1,103000000,1091511.84,6225105.968,58800000,4,103000000,949280.3889,5826789.292,58900000,1,1,0,0,0,1900,2180,0.925906857,1.062356289,6,11658,1103.956098,2482.490634,6162759.748,0,1,0,0,1,0,0,0,1,1109.367647,2315.863158,52.80733945,1900,0,0,0,0,0,0,95,220007,109,5756,251,8192,94,20,8046101.333,7768597.096,15600000,94527,26100000.0,28400000.0,58800000,6939791,BENIGN,0,-0.11805231398652971
443,64475806,890,2848,6796,6439621,1197,0,7.635955056,46.04675632,4380,0,2261.102879,863.8462932,99981.95292,57.97523493,17253.35991,956642.2703,58400000,0,64500000,72526.21597,1961197.993,58400000,1,64500000,22638.4647,1108674.213,59100000,1,0,0,0,0,24820,56972,13.80362736,44.17160756,0,4380,1724.101899,1221.006242,1490856.243,0,0,0,1,0,0,0,0,3,1724.563135,7.635955056,2261.102879,24820,0,0,0,0,0,0,890,6796,2848,6439621,29200,82,413,20,6023963.0,0.0,6023963,6023963,58400000.0,0.0,58400000,58400000,BENIGN,0,-0.11786667038448417
443,118309944,82,168,153547,132327,6037,6,1872.52439,2441.216709,2937,6,787.6607143,806.1456446,2416.31422,2.113093723,475140.3373,1452221.884,9999260,0,118000000,1460616.593,2256389.944,9999260,10,118000000,708264.2335,1742027.601,10000000,1,0,0,0,0,1640,3360,0.693094741,1.419998982,6,6037,1138.964143,1621.595921,2629573.331,0,0,0,0,1,0,0,0,2,1143.52,1872.52439,787.6607143,1640,0,0,0,0,0,0,82,153547,168,132327,64240,65535,81,20,4468221.714,7742741.886,19600000,29476,6715533.429,1627130.671,9999260,5192121,BENIGN,0,-0.11772208038712573
443,117302853,384,389,597418,36302,13298,0,1555.776042,2677.477235,2266,0,93.32133676,168.3185403,5402.426146,6.589780046,151946.7008,822697.831,10600000,0,117000000,306273.7676,1148483.225,10600000,4,117000000,302119.518,1158880.302,10700000,0,0,0,0,0,7692,7788,3.273577668,3.316202377,0,13298,818.7596899,2025.275972,4101742.762,0,0,0,1,0,0,0,0,1,819.8188875,1555.776042,93.32133676,7692,0,0,0,0,0,0,384,597418,389,36302,8192,8192,383,20,14500000.0,15900000.0,42700000,4735476,8942139.0,1350568.14,10600000,7458993,BENIGN,0,-0.11736486785631028
443,117129907,427,423,723605,36532,14578,0,1694.625293,2661.32695,2266,0,86.36406619,163.3628672,6489.691826,7.256899811,137962.1991,791448.1023,11600000,1,117000000,274952.8333,1101554.963,11600000,2,117000000,277365.8033,1126664.962,11700000,1,0,0,0,0,8552,8468,3.645524964,3.611374847,0,14578,893.2279671,2051.941548,4210464.115,0,0,0,1,0,0,0,0,0,894.2788235,1694.625293,86.36406619,8552,0,0,0,0,0,0,427,723605,423,36532,8192,8192,426,20,13500000.0,9499084.945,25600000,4594574,8893093.4,2344856.554,11600000,6408288,BENIGN,0,-0.11736486785631028
443,112536030,55,127,126256,87194,5941,6,2295.563636,2571.794962,4380,6,686.5669291,763.2644655,1896.725875,1.617259823,621746.0221,1789105.723,10000000,1,113000000,2083454.296,2791919.827,10000000,10,113000000,892905.2063,2101751.918,10000000,1,0,0,0,0,1100,2540,0.488732364,1.128527459,6,5941,1198.306011,1740.89375,3030711.049,0,0,0,0,1,0,0,0,2,1204.89011,2295.563636,686.5669291,1100,0,0,0,0,0,0,55,126256,127,87194,64240,65535,54,20,11000000.0,12800000.0,30300000,29670,7728715.667,2489239.922,10000000,5341803,BENIGN,0,-0.11706696883870837
80,117721822,73,132,129698,128240,6028,6,1776.684932,2322.642221,3460,6,971.5151515,950.0703749,2191.080597,1.741393367,577067.7549,1823311.531,9334075,1,118000000,1635023.056,2784475.323,9334239,14,118000000,898411.4351,2226941.376,9364235,1,1,0,0,0,1460,2640,0.620105931,1.121287436,6,6028,1278.165049,1643.775696,2701998.538,0,1,0,0,1,0,0,0,1,1284.4,1776.684932,971.5151515,1460,0,0,0,0,0,0,73,129698,132,128240,64240,65535,72,20,1249674.0,3066031.695,10100000,38146,7343093.417,844863.934,9334075,5582816,BENIGN,0,-0.11654110273692608
443,66481660,2672,3362,20344,6906329,243,0,7.613772455,18.42106429,7300,0,2054.232302,853.9640589,104189.2305,90.76187327,11019.66849,756095.6052,58700000,-1,66500000,24890.17596,1136304.434,58700000,0,66400000,19748.036,1014312.971,58800000,0,0,0,0,0,60996,67252,40.19153553,50.57033774,0,7300,1147.75029,1200.016517,1440039.641,0,0,0,1,0,0,0,0,1,1147.940504,7.613772455,2054.232302,60996,0,0,0,0,0,0,2672,20344,3362,6906329,8192,52,2113,20,7685923.0,0.0,7685923,7685923,58700000.0,0.0,58700000,58700000,BENIGN,0,-0.11493575128668188
80,116671659,280,234,257209,181213,2707,0,918.6035714,829.9847885,1890,2,774.4145299,817.9372222,3757.742058,4.405525767,227430.1345,661518.3196,5927046,1,117000000,418177.9892,856328.6766,5927046,42,117000000,500518.1588,947501.8833,5978670,1,0,0,0,0,5612,4684,2.399897305,2.005628462,0,2707,851.3048544,826.8998019,683763.2824,0,0,0,1,0,0,0,0,0,852.9610895,918.6035714,774.4145299,5612,0,0,0,0,0,0,280,257209,234,181213,8192,65535,279,20,19400000.0,28600000.0,52300000,182043,5552445.333,470025.3379,5927046,5025028,BENIGN,0,-0.11434864640550979
443,119684572,5159,9258,77466,15000000,486,0,15.01570072,64.88980687,7300,6,1616.568049,636.9129735,125694.1705,120.4582993,8302.20394,111174.101,5646570,-1,120000000,23203.66324,185337.9374,5646570,0,120000000,12924.16366,142922.0824,5691347,1,1,0,0,0,103768,185160,43.10497096,77.35332838,0,7300,1043.427591,922.7153333,851403.5864,0,1,0,0,1,0,0,0,1,1043.499965,15.01570072,1616.568049,103768,0,0,0,0,0,0,5159,77466,9258,14966187,3767,348,5109,20,10300000.0,0.0,10300000,10300000,5646570.0,0.0,5646570,5646570,BENIGN,0,-0.11300270761086428
443,64345005,2109,3246,15149,6180711,217,0,7.18302513,12.17260729,4733,0,1904.100739,776.3135837,96291.23504,83.2232432,12018.11823,790467.7844,57800000,0,64300000,30524.19592,1259720.79,57800000,1,64100000,19762.85177,1019102.614,58000000,0,0,0,0,0,42204,64932,32.77643696,50.44680624,0,4733,1156.807319,1106.58348,1224526.998,0,0,0,1,0,0,0,0,1,1157.023343,7.18302513,1904.100739,42204,0,0,0,0,0,0,2109,15149,3246,6180711,8192,34,2107,20,6312124.0,0.0,6312124,6312124,57800000.0,0.0,57800000,57800000,BENIGN,0,-0.11279196494665433
443,68152945,376,847,9571,1397209,767,0,25.45478723,54.85766386,4380,0,1649.597403,781.3693636,20641.51446,17.94493253,55771.64075,1668160.603,58200000,1,68200000,181741.1867,3010339.115,58200000,1,68100000,80540.82979,2005343.141,58200000,1,0,0,0,0,7636,16952,5.51700297,12.42792956,0,4380,1149.330065,992.9700341,985989.4887,0,0,0,1,0,0,0,0,2,1150.269828,25.45478723,1649.597403,7636,0,0,0,0,0,0,376,9571,847,1397209,29200,39,367,20,9939476.0,0.0,9939476,9939476,58200000.0,0.0,58200000,58200000,BENIGN,0,-0.11231707777152511
80,89859674,6969,9269,43112,20000000,314,0,6.186253408,14.92674537,4380,0,2157.601575,829.3631056,223035.7635,180.7039718,5534.253495,522668.2137,66300000,-1,23500000,3378.294489,73368.86984,3984819,1,89800000,9693.275032,691919.4642,66300000,0,0,0,0,0,152076,185392,77.5542542,103.1497176,0,4380,1234.184433,1235.602752,1526714.161,0,0,0,1,0,0,0,0,1,1234.260438,6.186253408,2157.601575,152076,0,0,0,0,0,0,6969,43112,9269,19998809,8192,0,6337,20,23500000.0,0.0,23500000,23500000,66300000.0,0.0,66300000,66300000,BENIGN,0,-0.11225337531786495
80,119963153,74,136,112942,121178,3311,6,1526.243243,1530.05703,2024,6,891.0147059,649.5711404,1951.599255,1.750537517,573986.378,1667981.292,6976930,16,120000000,1643330.863,2501199.171,6976930,46,120000000,888236.9037,2031655.373,7028463,47,0,0,0,0,1480,2720,0.616856077,1.13368144,6,3311,1116.492891,1085.219418,1177701.184,0,0,0,0,1,0,0,0,1,1121.809524,1526.243243,891.0147059,1480,0,0,0,0,0,0,74,112942,136,121178,16425,1927,73,20,2636334.5,3870996.119,10600000,57539,5880302.143,786413.4522,6976930,5010499,BENIGN,0,-0.11223556090093423
443,70272249,1875,2035,8923,4793200,434,0,4.758933333,13.38082378,10220,0,2355.380835,1293.856754,68335.97997,55.64074091,17977.03991,941082.5519,58700000,-1,70300000,37498.53202,1359188.997,58700000,0,70200000,34509.04326,1305301.213,58700000,1,0,0,0,0,48180,40712,26.68194098,28.95879994,0,10220,1227.850422,1500.123566,2250370.713,0,0,0,1,0,0,0,0,1,1228.16445,4.758933333,2355.380835,48180,0,0,0,0,0,0,1875,8923,2035,4793200,8192,127,1221,20,11500000.0,0.0,11500000,11500000,58700000.0,0.0,58700000,58700000,BENIGN,0,-0.11147667096921499
443,63161297,286,1621,8331,2381048,556,0,29.12937063,52.21467876,4380,0,1468.876002,334.5372832,37829.79631,30.19254022,33138.14113,1345880.348,58700000,1,63200000,221618.586,3479746.996,58700000,1,63100000,38978.96358,1460244.03,58700000,1,0,0,0,0,5752,32432,4.528089409,25.66445081,0,4380,1252.295073,600.4626013,360555.3355,0,0,0,1,0,0,0,0,5,1252.951757,29.12937063,1468.876002,5752,0,0,0,0,0,0,286,8331,1621,2381048,29200,35,284,20,4421349.0,0.0,4421349,4421349,58700000.0,0.0,58700000,58700000,BENIGN,0,-0.11091098939006228
80,104992987,179,273,230056,296456,8929,0,1285.22905,1922.81562,4569,0,1085.919414,1056.17426,5014.734937,4.305049441,232800.4146,891477.9062,8579504,1,105000000,589848.2416,1345740.393,8579504,14,105000000,385657.5699,1143849.343,8844299,1,0,0,0,0,3592,5468,1.704875774,2.600173667,0,8929,1162.278146,1462.791336,2139758.493,0,0,0,1,0,0,0,0,1,1164.849558,1285.22905,1085.919414,3592,0,0,0,0,0,0,179,230056,273,296456,8192,65535,178,20,3897977.5,3822489.579,9141004,49142,6175867.0,1610342.183,8579504,5185352,BENIGN,0,-0.1107666120055959
443,119945525,517,1384,50420,2376564,10220,0,97.52417795,568.683501,4380,0,1717.17052,727.5556436,20234.05208,15.84886139,63129.22368,1893449.29,58600000,0,120000000,232452.5678,3630499.931,58600000,1,120000000,86717.3825,2219666.068,58600000,1,0,0,0,0,10384,27692,4.310290025,11.53857136,0,10220,1276.016824,996.5639647,993139.7356,0,0,0,1,0,0,0,0,2,1276.688059,97.52417795,1717.17052,10384,0,0,0,0,0,0,517,50420,1384,2376564,29200,129,514,20,1594202.5,2232944.927,3173133,15272,58400000.0,325468.5235,58600000,58100000,BENIGN,0,-0.11030200328828899
80,113237723,268,253,229991,188337,2223,0,858.1753731,855.6043241,1810,2,744.4150198,703.7296994,3694.245954,4.600940271,217764.8519,512487.5471,5054329,4,113000000,424111.3221,655107.0088,5054329,49,113000000,449154.9603,716738.0575,5186391,4,0,0,0,0,5372,5064,2.366702481,2.23423779,0,2223,801.394636,786.8725245,619168.3699,0,0,0,1,0,0,0,0,0,802.9328215,858.1753731,744.4150198,5372,0,0,0,0,0,0,268,229991,253,188337,8192,65535,267,20,68000000.0,0.0,68000000,68000000,5054329.0,0.0,5054329,5054329,BENIGN,0,-0.11015639656093756
80,91188849,2940,4616,21765,8845518,328,0,7.403061224,21.64929234,4380,0,1916.273397,736.2923964,97240.86988,82.86100859,12069.99987,799743.1899,69100000,0,22100000,7503.224566,133663.3701,4969180,0,91200000,19754.3597,1023412.379,69100000,1,0,0,0,0,59328,92332,32.24078418,50.62022441,0,4380,1173.386661,1094.353113,1197608.736,0,0,0,1,0,0,0,0,1,1173.541953,7.403061224,1916.273397,59328,0,0,0,0,0,0,2940,21765,4616,8845518,8192,0,2896,20,22100000.0,0.0,22100000,22100000,69100000.0,0.0,69100000,69100000,BENIGN,0,-0.10964429655092556
443,64444848,453,577,30719,1136861,4344,0,67.81236203,362.4083743,4344,0,1970.29636,924.7486523,18117.50724,15.98265854,62628.61808,1812838.618,58100000,1,64400000,142576.9093,2744484.922,58300000,1,64200000,111534.7969,2431497.467,58300000,1,0,0,0,0,22400,18556,7.029266327,8.953392209,0,4344,1132.473327,1195.347297,1428855.16,0,0,0,1,0,0,0,0,1,1133.572816,67.81236203,1970.29636,22400,0,0,0,0,0,0,453,30719,577,1136861,29200,1122,56,32,4087020.0,0.0,4087020,4087020,58100000.0,0.0,58100000,58100000,BENIGN,0,-0.10944316114254471
